risk_pattern,iso_27001,soc_2,hipaa,nist_csf,description
weak_password,A.9.4.3,CC6.1,164.308(a)(5)(ii)(B),PR.AC-7,User accounts allowing weak passwords like password123 or admin without complexity requirements minimum length special characters or uppercase enforcement across systems and applications
no_mfa,A.9.4.2,CC6.1,164.312(d),PR.AC-7,Multi-factor authentication not enabled for VPN remote access privileged accounts or administrative interfaces requiring only username and password for authentication
unencrypted_data,A.8.24,CC6.7,164.312(a)(2)(iv),PR.DS-1,Sensitive data including customer information credit cards or personal health information stored in plaintext databases or transmitted over networks without TLS SSL encryption
missing_access_logs,A.8.15,CC7.2,164.312(b),DE.AE-3,System audit logs for user access authentication privileged operations or data access not enabled collected or retained for security monitoring and forensic investigation
no_patch_mgmt,A.8.8,CC7.1,164.308(a)(5)(ii)(B),PR.IP-12,Operating systems applications or firmware missing critical security patches months behind update schedules with no vulnerability management or patch deployment process
admin_privileges,A.9.2.3,CC6.2,164.308(a)(4),PR.AC-6,Excessive users granted domain administrator root or privileged access rights beyond job requirements without justification or periodic review of permissions
physical_entry,A.11.1.2,CC6.4,164.310(a)(1),PR.AC-2,Physical access controls to server rooms data centers or secure areas using weak door codes badge readers or locks with inadequate monitoring
vendor_risk,A.15.1.1,CC9.2,164.308(b)(1),ID.SC-2,Third-party vendors suppliers or service providers processing sensitive data without security assessments due diligence reviews or contractual security requirements
incident_response,A.16.1.1,CC7.3,164.308(a)(6)(i),RS.RP-1,Information security incident response plan procedures playbooks or escalation processes not documented tested or communicated to security operations teams
backup_failure,A.12.3.1,CC9.1,164.308(a)(7)(ii)(A),PR.IP-4,Backup systems failing corrupted or incomplete with no monitoring validation testing or offsite storage for disaster recovery purposes
shared_credentials,A.9.2.4,CC6.1,164.308(a)(3),PR.AC-7,DevOps team IT staff or administrators using shared admin accounts with same username and password distributed via Slack email to access production servers databases
password_never_changed,A.9.4.3,CC6.1,164.308(a)(5)(ii)(D),PR.AC-1,Account passwords not rotated for extended periods 12 to 24 months without password aging policy expiration enforcement or change requirements
default_credentials,A.9.2.4,CC6.1,164.308(a)(5)(ii)(D),PR.AC-1,Default manufacturer passwords admin admin or root root remaining unchanged on network devices routers switches firewalls or applications after installation
no_account_lockout,A.9.4.2,CC6.1,164.308(a)(1)(ii)(B),PR.AC-7,Account lockout policy not configured allowing unlimited failed login attempts enabling brute-force password attacks against user or service accounts
inactive_accounts,A.9.2.6,CC6.2,164.308(a)(3)(ii)(C),PR.AC-4,Dormant user accounts for terminated employees contractors or former staff remaining active enabled with access to systems applications or data
excessive_permissions,A.9.2.3,CC6.2,164.308(a)(4)(ii)(B),PR.AC-4,Users granted more access permissions file shares database tables or application functions than required for job role violating least privilege principle
no_access_review,A.9.2.5,CC6.2,164.308(a)(4)(ii)(C),PR.AC-6,Periodic access rights reviews user recertification or permission audits not performed annually or quarterly to validate appropriate access levels
missing_encryption_transit,A.8.24,CC6.7,164.312(e)(1),PR.DS-2,Sensitive data transmitted over networks without TLS 1.2 SSL encryption using HTTP FTP or unencrypted protocols exposing data to interception
missing_encryption_rest,A.8.24,CC6.7,164.312(a)(2)(iv),PR.DS-1,Confidential data customer records or payment information stored in plaintext on disk drives databases or file servers without encryption at rest
unencrypted_backups,A.12.3.1,CC6.7,164.312(a)(2)(iv),PR.DS-1,Backup tapes drives or cloud storage containing sensitive production data not encrypted enabling data theft if media lost stolen or compromised
usb_devices_allowed,A.8.2.3,CC6.1,164.310(d)(1),PR.AC-3,Removable media USB drives external hard drives or thumb drives allowed without restrictions endpoint controls or monitoring enabling data exfiltration
no_dlp,A.8.12,CC6.6,164.312(e)(1),PR.DS-5,Data loss prevention DLP controls not implemented to detect prevent or alert on sensitive data being emailed uploaded or transferred outside organization
public_cloud_misconfiguration,A.8.9,CC6.6,N/A,PR.DS-6,AWS S3 buckets Azure blob storage or cloud resources publicly accessible on internet allowing anonymous downloads of sensitive files or data
api_keys_hardcoded,A.9.4.5,CC6.1,164.312(a)(2)(i),PR.AC-1,API keys authentication tokens or database passwords embedded hardcoded in source code repositories scripts or configuration files visible in GitHub
missing_firewall,A.13.1.1,CC6.6,164.312(a)(1),PR.AC-5,Network firewall rules missing misconfigured or allowing any any traffic without segmentation between production development or untrusted networks
open_ports,A.13.1.3,CC6.6,164.312(a)(1),PR.IP-1,Unnecessary network services SSH RDP FTP or management ports exposed to internet without firewall filtering or IP whitelisting restrictions
no_network_segmentation,A.13.1.3,CC6.6,164.312(a)(1),PR.AC-5,Production and development networks not segregated using VLANs subnets or firewall zones allowing lateral movement across environments
